date,high_f,low_f,avg_f
2026-02-01,52.7,43.0,47.8
2026-02-02,63.0,38.0,50.5
2026-02-03,71.4,36.1,53.7
2026-02-04,61.8,43.2,52.5
2026-02-05,56.4,41.1,48.7
2026-02-06,61.3,36.2,48.8
2026-02-07,52.8,39.0,45.9
2026-02-08,60.6,41.1,50.8
2026-02-09,68.8,32.2,50.5
2026-02-10,56.4,44.4,50.4
2026-02-11,56.9,45.6,51.3
2026-02-12,58.1,43.0,50.5
2026-02-13,55.4,41.6,48.5
2026-02-14,53.3,36.9,45.1
2026-02-15,62.5,37.1,49.8
2026-02-16,57.9,43.6,50.8
2026-02-17,65.5,42.1,53.8
2026-02-18,59.6,42.3,50.9
2026-02-19,64.0,39.8,51.9
2026-02-20,58.6,44.5,51.5
2026-02-21,59.3,45.6,52.5
2026-02-22,64.9,40.8,52.9
2026-02-23,60.7,42.9,51.8
2026-02-24,60.4,43.8,52.1
2026-02-25,61.6,41.6,51.6
2026-02-26,62.5,44.5,53.5
2026-02-27,59.1,49.4,54.3
2026-02-28,65.6,39.3,52.4
2026-03-01,64.3,43.0,53.7
2026-03-02,69.7,44.1,56.9
2026-03-03,65.2,46.0,55.6
2026-03-04,61.6,44.0,52.8
2026-03-05,69.5,49.3,59.4
2026-03-06,70.9,46.0,58.4
2026-03-07,74.1,43.3,58.7
2026-03-08,69.8,45.8,57.8
2026-03-09,65.4,46.3,55.8
2026-03-10,70.2,55.1,62.7
2026-03-11,63.0,46.9,54.9
2026-03-12,72.7,44.7,58.7
2026-03-13,66.6,42.7,54.6
2026-03-14,65.1,42.3,53.7
2026-03-15,72.3,45.5,58.9
2026-03-16,68.0,45.6,56.8
2026-03-17,74.0,55.7,64.8
2026-03-18,73.0,47.2,60.1
2026-03-19,70.4,50.6,60.5
2026-03-20,70.3,53.3,61.8
2026-03-21,65.7,49.0,57.3
2026-03-22,69.8,49.9,59.8
2026-03-23,80.7,44.9,62.8
2026-03-24,65.3,53.3,59.3
2026-03-25,70.4,44.5,57.4
2026-03-26,69.5,50.8,60.2
2026-03-27,76.9,39.4,58.2
2026-03-28,67.6,49.1,58.3
2026-03-29,73.0,42.5,57.8
2026-03-30,67.2,45.5,56.4
2026-03-31,66.7,48.7,57.7
2026-04-01,73.6,46.9,60.2
2026-04-02,80.8,51.6,66.2
2026-04-03,69.6,59.0,64.3
2026-04-04,67.6,49.1,58.4
2026-04-05,66.3,56.8,61.6
2026-04-06,76.8,56.2,66.5
2026-04-07,72.1,56.9,64.5
2026-04-08,75.9,51.8,63.9
2026-04-09,77.5,55.2,66.3
2026-04-10,78.0,50.5,64.3
2026-04-11,71.2,55.3,63.2
2026-04-12,80.7,56.0,68.4
2026-04-13,71.5,59.8,65.7
2026-04-14,73.9,50.7,62.3
2026-04-15,81.2,56.9,69.0
2026-04-16,76.3,47.2,61.7
2026-04-17,83.1,52.4,67.7
2026-04-18,73.1,55.4,64.3
2026-04-19,69.2,53.8,61.5
2026-04-20,74.6,49.1,61.8
2026-04-21,85.1,56.7,70.9
2026-04-22,82.5,57.4,69.9
2026-04-23,75.6,53.7,64.6
2026-04-24,81.7,49.3,65.5
2026-04-25,78.8,61.0,69.9
2026-04-26,91.0,54.4,72.7
2026-04-27,76.3,51.0,63.6
2026-04-28,75.6,47.9,61.8
2026-04-29,72.3,51.2,61.8
2026-04-30,77.2,49.8,63.5
